customer_id,first_name,last_name,email,signup_date
1,Jill,Rhodes,johnsonjoshua@example.org,2023-06-21
2,Jesse,Guzman,garzaanthony@example.org,2023-10-22
3,Shane,Ramirez,jennifermiles@example.com,2023-10-25
4,Joshua,Lewis,blakeerik@example.com,2024-04-28
5,Cassandra,Roman,curtis61@example.com,2024-05-04
6,Kelly,Fuller,yherrera@example.org,2025-03-23
7,Kendra,Galloway,barbara10@example.net,2023-11-06
8,Mary,Martin,michellejames@example.com,2025-07-31
9,George,Daniel,jason41@example.net,2025-07-30
10,Angela,Cohen,stevennelson@example.net,2025-10-21
11,Joseph,Clark,perezantonio@example.com,2024-08-01
12,Douglas,Taylor,jason76@example.net,2024-10-29
13,Jeffrey,Bright,julie69@example.com,2024-06-01
14,Courtney,Conner,ddavis@example.org,2023-07-12
15,Wendy,Rice,ycarlson@example.com,2025-05-30
16,Kayla,Peterson,frazierdanny@example.net,2024-01-05
17,Teresa,Gill,ryan70@example.net,2023-12-31
18,Chelsea,Hernandez,harrellkenneth@example.net,2025-01-13
19,Carol,Burns,amberosborne@example.net,2022-11-17
20,Brian,Humphrey,hickmannatasha@example.com,2023-11-23
21,Katie,Anderson,millertodd@example.org,2025-02-21
22,Monique,Henderson,karroyo@example.com,2025-02-13
23,Jennifer,Ross,sarahcampos@example.net,2023-09-25
24,Jeffrey,Morgan,samuel87@example.org,2023-12-07
25,Brian,Jones,briannasmith@example.net,2025-07-24
26,Elizabeth,Lewis,heathchad@example.org,2024-01-23
27,John,Kennedy,jenniferkhan@example.net,2024-11-20
28,Michael,Jenkins,glee@example.net,2024-09-16
29,Richard,Morgan,nuneztracey@example.org,2023-02-19
30,Robert,Ramirez,wrightjames@example.com,2023-06-22
31,Brent,Kidd,nancyjones@example.net,2023-04-18
32,Richard,Olson,novaksara@example.org,2023-08-02
33,Tricia,Baker,kbarrera@example.com,2022-11-20
34,Dorothy,Tucker,smitchell@example.net,2025-03-29
35,Bruce,Edwards,kennethnovak@example.net,2025-03-08
36,Brian,Romero,silvawesley@example.net,2023-07-19
37,David,Zamora,caseyjones@example.org,2024-08-05
38,Diane,Cunningham,bethwilliams@example.org,2024-08-29
39,Randy,Powers,sarah35@example.org,2024-01-03
40,Yolanda,Ferrell,stephen10@example.com,2025-07-08
41,Nicole,Suarez,medinawilliam@example.org,2024-05-12
42,Cheryl,Archer,justin78@example.net,2024-02-29
43,Sheila,Taylor,contrerasangela@example.net,2023-04-26
44,Juan,Clark,prestonjulia@example.org,2024-01-14
45,Rebecca,Mathis,james48@example.com,2023-12-12
46,Matthew,Anderson,waltersmaria@example.org,2022-11-22
47,Ann,Rodriguez,evan78@example.net,2024-09-11
48,Earl,Anderson,amydavenport@example.net,2025-03-24
49,John,Garcia,michael05@example.org,2025-10-11
50,Michelle,Cherry,vdickson@example.org,2023-11-19
51,Kimberly,Jenkins,nicolejohnson@example.net,2024-04-16
52,Monica,Garrison,josephcobb@example.org,2024-07-03
53,Lori,Savage,jamessellers@example.com,2024-03-05
54,Michelle,Rasmussen,andrewlee@example.com,2024-01-23
55,Mark,Johnson,michael86@example.net,2025-02-26
56,Ryan,Chandler,gregory40@example.org,2025-05-31
57,James,Williams,samuel81@example.com,2025-04-30
58,Jennifer,Harmon,zsmith@example.net,2025-10-18
59,Cindy,Alvarado,michaeljones@example.net,2024-04-12
60,Ricky,Powell,cortezkevin@example.com,2025-09-17
61,Erica,Orr,angela36@example.net,2024-06-27
62,Russell,Carpenter,richard04@example.com,2023-10-09
63,Laura,Moyer,steven73@example.net,2024-11-21
64,Christine,Davis,donnacampbell@example.net,2025-07-27
65,Andrew,Sanchez,emilywalker@example.org,2023-07-03
66,Robert,Soto,xcarr@example.org,2024-10-24
67,Dylan,Watts,jennifercruz@example.com,2023-12-01
68,Steven,Grant,osbornejeffery@example.net,2025-01-29
69,Vanessa,Larson,bryantlaurie@example.net,2025-02-19
70,Maria,Kelley,usalazar@example.net,2024-09-09
71,Mary,Ramirez,juliawells@example.com,2023-12-06
72,Jennifer,Young,rsims@example.com,2023-03-17
73,Jesse,Benson,luis81@example.org,2023-07-09
74,Robert,Clark,calebrussell@example.net,2024-11-09
75,Andrew,Gilmore,xprice@example.net,2025-11-01
76,Melissa,Ashley,wwoods@example.com,2024-07-14
77,Rachael,Freeman,vmedina@example.net,2025-06-11
78,Erin,Powell,ryan06@example.com,2025-09-21
79,Anthony,Long,marycalhoun@example.net,2025-02-23
80,Brent,Gray,millerroy@example.com,2023-08-26
81,Karen,Decker,shawnrogers@example.com,2024-01-23
82,Brett,Crane,mary70@example.net,2025-03-03
83,Karen,Herring,debraharrington@example.net,2023-01-18
84,Thomas,Wilson,maryhowell@example.org,2023-06-01
85,Catherine,Stuart,stevenscott@example.com,2023-08-04
86,Beth,Hickman,stricklandfrank@example.com,2023-05-03
87,Brittany,Rivas,tsanders@example.org,2023-03-15
88,Linda,Hogan,curtisbarton@example.net,2025-06-06
89,William,Peterson,reedross@example.com,2023-03-04
90,Cynthia,Poole,gshort@example.com,2024-06-01
91,Christina,Gillespie,ryangross@example.net,2024-01-10
92,Marcus,Sanchez,umarshall@example.net,2024-01-07
93,Cheryl,Gray,ramirezshannon@example.com,2025-04-20
94,Michael,Green,snydermark@example.com,2023-10-12
95,Stacy,Miller,nicole48@example.org,2025-01-27
96,Thomas,Joseph,wfreeman@example.org,2025-10-24
97,Richard,Sanchez,fmcguire@example.com,2023-10-27
98,Mark,Warner,thomas85@example.com,2025-03-20
99,Leslie,Newton,kristopher31@example.net,2023-09-12
100,Tiffany,Warren,jamesrodgers@example.com,2025-05-20
101,Harry,Smith,tina34@example.org,2024-05-30
102,Heidi,Martinez,joshuamccann@example.net,2024-02-13
103,Taylor,Alexander,agarcia@example.net,2024-02-01
104,Lynn,Morales,tammyking@example.com,2023-05-13
105,Lisa,Avery,rayglenda@example.org,2023-07-06
106,Caitlin,Montgomery,mcknightdavid@example.com,2025-06-15
107,Veronica,Torres,chayes@example.com,2025-05-19
108,Jason,Guerrero,lynchjody@example.org,2025-07-15
109,Ricky,Norris,johnarnold@example.org,2022-11-21
110,Jacqueline,Gibson,ocarter@example.com,2024-01-30
111,Donna,Peck,sandrafrench@example.net,2025-05-21
112,Rebekah,Serrano,owilson@example.net,2023-07-06
113,Samantha,Gonzales,brownlaura@example.net,2025-04-19
114,Vincent,Snyder,sbarker@example.com,2024-01-13
